address,owned
"0x43af2f949516a90482cfab1a5b5bb94f53c87f5592a0df8ddeb651fdc393a974",10
"0x9916bdf442cf710d9ee95b2e3f5e1996ee644b139616dea55c1030063e71335a",10
"0x877df10fb9b06976629ad667aaf2a5132d7e635489ab1b7291e61cdf97c097ba",11
"0x58ac372ce38c05acf693e06134ca0962e3ba8d1f7eeb5ed727dc07a71b2535f7",15
"0x97b0b2ac25594a8d69e1c25144b6ec70e63dd02897ab379ee2618cf13e0a6641",259
"0x2cdf7314ffc0643846d6dadc7ebc52a5b18280d2830f204f476775df43941139",10
"0x6f79b0c59d17da9ae9304df87865f218e9a7360e1b9fa70e175602bd62d60a74",2
"0x756f9478cf2d8b97766e3be0b60a177ca7e821b124cd4507194dadcb54870ae3",3
"0xef67f12afe1d9975e0722a0685b1dcbd8e405cfc3b40bc0bd26f3077afe75f70",2
"0xb669e6c30232ed476c5b909dee9f109b6b9d91cb963df31070c97eefa59f5465",1
"0x8ef6b73541404899e3776666ac45f4e7c200c65734adc2a5be416f3ec5dd06bf",1
"0xb9adc2650e5fb10712d7cd3677222456d7a19085a9b9d51af05ceac13d4992be",34
"0x273668ba48498b2a6aabd45ced3d171ff00e4198afbd162a7de02d3076570fec",1
"0xd80f514db35a821e54ec709dae93733c926f937f02108f0200e5e4d7183e26d6",1
"0x7a48cfce0a7cf7b6ae0e816ccdc6bec7f428dd91fd4a56f252bcf38e95a57b5e",73
"0x8692b886a48553598bcfea72a0a8d5b5a7fe3ee5098e17af448eaddb19cd9225",233
"0xf49451aaca7d088ea9017c89f6a10b30fa9b51cc078e777deb17a1331b8ca90c",144
"0x856145b50a8daf033dd286839bc3bfb6eb67c1b371882e990fcb6e77c9a48ecc",33
"0x648e00bb3cb1c828f0d9d7bc278d35df7c11bef42b6c43d654b7414a3b042011",11
"0xeba789350c9724e2487c9debd31f3e931d592ea7317517270a9cf1186788acb4",2
"0xf92cd18464a6372175818d672a77bcb7cb0430809563b7cbfde0e55f12a60888",50
"0x9b9e321cefa0224844c1ba12d91f99249d20c1b90d8e7ca176115ecec1438545",1
"0xbd66f8010697ef45b1525e7e29ba63bf013d3641b8bdb931eee7037e9f119499",28
"0xadb3d29f43bf6d2bc7025d23e29f6764c2c994cd29fcfeb2533e81f1042c78d6",1
"0x885672e6744326979bd77e03d769094746103a8a0dbd0710d8e542840ee048ff",1
"0x41d436f4f42a2841ebfe1dd8fffc83fe1264b30fb17925edd9e0c821d6dae6ad",3
"0xf749f4d5af3b888e6c5755c1abc6f752e2a42cbcb3e820c793ed82092b126d48",1
"0xf56b8e76aa412962dbbaf5ad4b6e87e2be1db7da90260ff0c00d364762989abc",1
"0xfaa29326122ef97a39eca25814a1e748d51585477f2c697ff62f102674f4eff9",2
"0x6de88c62063f6da9a96297496473bd12e0f840da68c2c2b04e9dbc2c0396133c",6
"0x75e4212509021667249e8821fae4af1cbd718ecc3b8b6cf7f730ae04a6cbdd07",8
"0x6e94f56699cc8b8dc652a5bb8652dfc1b7bc8c652e1ecd2dd7dff25525506773",31
"0x1496cbb0603c6d097038c1f6feaffc90059e634b901cf5e9e3d1ecc2c6e51089",48
"0x2560400c380dcef03ccaf562f8de53ec4b8f8caa554e805ff76516bf863222b7",38
"0xa47078cadbb76e6d0401ad9216f944215c41dfaeee23609dafe47aef090dc065",4
"0x64eac8c31743eab70365d94d6a6c0a0ebfdf6d1e471728376bd57f4798e223e0",2
"0x1de32d7b500c7d4e2b2ecaccbe0e8fee44fb25e811b95acd7ce4e2e6953a77c9",4
"0xd757cd7f53e437ae291fe3f01109692fb21d29e4655043a7c674b42365721d26",1
"0x2ed5f81a40b6f0e56d37e51a2e6b8d173a388099a8bde5792c6a010e6ad7c22a",9
"0x44d901c20ea8cf0f828505879c3ed980c776f8619e788b5b72a709e266974408",8
"0xf62c6b7f5ce9a76021bc59d15e4815645e2e111d797b22dd530e99b01f5b5d42",21
"0xb5f59df8059cccb0f4f9a55e8adf60f0bbc16180cb9ccf5d50e0c1c3e2bd4401",1
